Fuel_transport_8th,Emissions factor (MT/PJ),Economy
16_x_hydrogen,0.0,00_APEC
16_x_hydrogen,0.0,01_AUS
16_x_hydrogen,0.0,02_BD
16_x_hydrogen,0.0,03_CDA
16_x_hydrogen,0.0,04_CHL
16_x_hydrogen,0.0,05_PRC
16_x_hydrogen,0.0,06_HKC
16_x_hydrogen,0.0,07_INA
16_x_hydrogen,0.0,08_JPN
16_x_hydrogen,0.0,09_ROK
16_x_hydrogen,0.0,10_MAS
16_x_hydrogen,0.0,11_MEX
16_x_hydrogen,0.0,12_NZ
16_x_hydrogen,0.0,13_PNG
16_x_hydrogen,0.0,14_PE
16_x_hydrogen,0.0,15_PHL
16_x_hydrogen,0.0,16_RUS
16_x_hydrogen,0.0,17_SGP
16_x_hydrogen,0.0,18_CT
16_x_hydrogen,0.0,19_THA
16_x_hydrogen,0.0,20_USA
16_x_hydrogen,0.0,21_VN
16_x_hydrogen,0.0,22_SEA
16_x_hydrogen,0.0,23_NEA
16_x_hydrogen,0.0,23_bONEA
16_x_hydrogen,0.0,24_OAM
16_x_hydrogen,0.0,24_bOOAM
16_x_hydrogen,0.0,25_OCE
7_x_jet_fuel,0.07155663586676535,00_APEC
7_x_jet_fuel,0.07153756829914976,01_AUS
7_x_jet_fuel,0.07150018394455232,02_BD
7_x_jet_fuel,0.07155312947730846,03_CDA
7_x_jet_fuel,0.07154601051268868,04_CHL
7_x_jet_fuel,0.071565,05_PRC
7_x_jet_fuel,0.071565,06_HKC
7_x_jet_fuel,0.07156418627710709,07_INA
7_x_jet_fuel,0.07156435793033362,08_JPN
7_x_jet_fuel,0.0715634703018225,09_ROK
7_x_jet_fuel,0.071565,10_MAS
7_x_jet_fuel,0.070097,11_MEX
7_x_jet_fuel,0.07151763967178171,12_NZ
7_x_jet_fuel,0.071565,13_PNG
7_x_jet_fuel,0.071565,14_PE
7_x_jet_fuel,0.07154882629165009,15_PHL
7_x_jet_fuel,0.07156293726900083,16_RUS
7_x_jet_fuel,0.07150018394455232,17_SGP
7_x_jet_fuel,0.071565,18_CT
7_x_jet_fuel,0.071565,19_THA
7_x_jet_fuel,0.07155185212437039,20_USA
7_x_jet_fuel,0.071565,21_VN
7_x_jet_fuel,0.07156367168137312,22_SEA
7_x_jet_fuel,0.0715641430271036,23_NEA
7_x_jet_fuel,0.07156358167822321,23_bONEA
7_x_jet_fuel,0.0715511318973338,24_OAM
7_x_jet_fuel,0.07154176295201611,24_bOOAM
7_x_jet_fuel,0.07153687730033229,25_OCE
1_x_coal_thermal,0.09468603309025395,00_APEC
1_x_coal_thermal,0.094686,01_AUS
1_x_coal_thermal,0.0949577817402555,02_BD
1_x_coal_thermal,0.0949577817402555,03_CDA
1_x_coal_thermal,0.0949577817402555,04_CHL
