Medium,Drive,Fuel,Supply_side_fuel_mixing
air,air_av_gas,07_02_aviation_gasoline,FALSE
air,air_diesel,07_07_gas_diesel_oil,FALSE
air,air_fuel_oil,07_08_fuel_oil,FALSE
air,air_gasoline,07_01_motor_gasoline,FALSE
air,air_hydrogen,16_x_hydrogen,FALSE
air,air_jet_fuel,07_x_jet_fuel,FALSE
air,air_kerosene,07_06_kerosene,FALSE
air,air_lpg,07_09_lpg,FALSE
ship,ship_ammonia,16_x_ammonia,FALSE
ship,ship_diesel,07_07_gas_diesel_oil,FALSE
ship,ship_fuel_oil,07_08_fuel_oil,FALSE
ship,ship_gasoline,07_01_motor_gasoline,FALSE
ship,ship_kerosene,07_06_kerosene,FALSE
ship,ship_lpg,07_09_lpg,FALSE
ship,ship_other_petroleum_products,07_x_other_petroleum_products,FALSE
air,air_av_gas,16_07_bio_jet_kerosene,TRUE
air,air_diesel,16_06_biodiesel,TRUE
air,air_gasoline,16_05_biogasoline,TRUE
air,air_jet_fuel,16_07_bio_jet_kerosene,TRUE
air,air_kerosene,16_07_bio_jet_kerosene,TRUE
air,air_lpg,16_01_biogas,TRUE
ship,ship_diesel,16_06_biodiesel,TRUE
ship,ship_gasoline,16_05_biogasoline,TRUE
ship,ship_kerosene,16_07_bio_jet_kerosene,TRUE
ship,ship_lpg,16_01_biogas,TRUE
air,air_av_gas,16_x_efuel,TRUE
air,air_diesel,16_x_efuel,TRUE
air,air_gasoline,16_x_efuel,TRUE
air,air_jet_fuel,16_x_efuel,TRUE
air,air_kerosene,16_x_efuel,TRUE
ship,ship_diesel,16_x_efuel,TRUE
ship,ship_gasoline,16_x_efuel,TRUE
ship,ship_kerosene,16_x_efuel,TRUE
ship,ship_fuel_oil,16_x_efuel,TRUE
ship,ship_fuel_oil,16_06_biodiesel,TRUE
ship,ship_lng,08_02_lng,FALSE
ship,ship_lng,16_01_biogas,TRUE
ship,ship_hydrogen,16_x_hydrogen,FALSE
