Medium,Transport Type,Vehicle Type,Drive
air,freight,all,all
air,passenger,all,all
rail,freight,all,all
rail,passenger,all,all
road,freight,ht,bev
road,freight,ht,fcev
road,freight,ht,ice
road,passenger,2w,bev
road,passenger,2w,ice
road,passenger,bus,bev
road,passenger,bus,ice
road,passenger,bus,fcev
road,passenger,ldv,bev
road,passenger,ldv,ice
road,passenger,ldv,fcev
road,passenger,ldv,phev
ship,freight,all,all
ship,passenger,all,all
road,freight,ht,phev
road,passenger,bus,phev
road,freight,ht,cng
road,freight,ldv,cng
road,passenger,ldv,cng
road,passenger,bus,cng
road,freight,ldv,bev
road,freight,ldv,fcev
road,freight,ldv,ice
road,freight,ldv,phev
road,freight,ht,lpg
road,freight,ldv,lpg
road,passenger,ldv,lpg
road,passenger,bus,lpg
