Medium,Transport Type,Vehicle Type,Drive
road,passenger,2w,bev
road,passenger,2w,ice_d
road,passenger,2w,ice_g
air,passenger,all,air_av_gas
air,passenger,all,air_diesel
air,passenger,all,air_fuel_oil
air,passenger,all,air_gasoline
air,passenger,all,air_jet_fuel
air,passenger,all,air_kerosene
air,passenger,all,air_lpg
rail,passenger,all,rail_coal
road,passenger,bus,bev
road,passenger,bus,cng
road,passenger,bus,fcev
road,passenger,bus,ice_d
road,passenger,bus,ice_g
road,passenger,bus,lpg
road,passenger,bus,phev_d
road,passenger,bus,phev_g
road,passenger,car,bev
road,passenger,car,cng
road,passenger,car,fcev
road,passenger,car,ice_d
road,passenger,car,ice_g
road,passenger,car,lpg
road,passenger,car,phev_d
road,passenger,car,phev_g
road,passenger,lt,bev
road,passenger,lt,cng
road,passenger,lt,fcev
road,passenger,lt,ice_d
road,passenger,lt,ice_g
road,passenger,lt,lpg
road,passenger,lt,phev_d
road,passenger,lt,phev_g
road,passenger,suv,bev
road,passenger,suv,cng
road,passenger,suv,fcev
road,passenger,suv,ice_d
road,passenger,suv,ice_g
road,passenger,suv,lpg
road,passenger,suv,phev_d
road,passenger,suv,phev_g
rail,passenger,all,rail_diesel
rail,passenger,all,rail_electricity
rail,passenger,all,rail_fuel_oil
rail,passenger,all,rail_gasoline
rail,passenger,all,rail_kerosene
rail,passenger,all,rail_lpg
ship,passenger,all,ship_ammonia
ship,passenger,all,ship_diesel
ship,passenger,all,ship_fuel_oil
ship,passenger,all,ship_gasoline
ship,passenger,all,ship_kerosene
ship,passenger,all,ship_lpg
air,freight,all,air_av_gas
air,freight,all,air_diesel
air,freight,all,air_fuel_oil
air,freight,all,air_gasoline
air,freight,all,air_jet_fuel
air,freight,all,air_kerosene
air,freight,all,air_lpg
rail,freight,all,rail_coal
road,freight,ht,bev
road,freight,ht,cng
road,freight,ht,fcev
road,freight,ht,ice_d
road,freight,ht,ice_g
road,freight,ht,lpg
road,freight,ht,phev_d
road,freight,ht,phev_g
road,freight,lcv,bev
road,freight,lcv,cng
road,freight,lcv,fcev
road,freight,lcv,ice_d
road,freight,lcv,ice_g
road,freight,lcv,lpg
road,freight,lcv,phev_d
road,freight,lcv,phev_g
road,freight,mt,bev
road,freight,mt,cng
road,freight,mt,fcev
road,freight,mt,ice_d
road,freight,mt,ice_g
road,freight,mt,lpg
road,freight,mt,phev_d
road,freight,mt,phev_g
rail,freight,all,rail_diesel
rail,freight,all,rail_electricity
rail,freight,all,rail_fuel_oil
rail,freight,all,rail_gasoline
rail,freight,all,rail_kerosene
rail,freight,all,rail_lpg
ship,freight,all,ship_ammonia
ship,freight,all,ship_diesel
ship,freight,all,ship_fuel_oil
ship,freight,all,ship_gasoline
ship,freight,all,ship_kerosene
ship,freight,all,ship_lpg
rail,freight,all,rail_natural_gas
rail,passenger,all,rail_natural_gas
ship,passenger,all,ship_electric
ship,freight,all,ship_electric
air,freight,all,air_electric
air,passenger,all,air_electric
air,freight,all,air_hydrogen
air,passenger,all,air_hydrogen
ship,freight,all,ship_lng
ship,passenger,all,ship_lng
ship,freight,all,ship_hydrogen
ship,passenger,all,ship_hydrogen
