Medium,Transport Type,Vehicle Type,Drive
road,freight,ht,bev
road,freight,ht,cng
road,freight,ht,d
road,freight,ht,fcev
road,freight,ht,g
road,freight,ht,lpg
road,freight,lt,bev
road,freight,lt,cng
road,freight,lt,d
road,freight,lt,fcev
road,freight,lt,g
road,freight,lt,lpg
road,freight,lt,phevg
road,freight,2w,bev
road,freight,2w,g
road,passenger,2w,bev
road,passenger,2w,g
road,passenger,bus,bev
road,passenger,bus,cng
road,passenger,bus,d
road,passenger,bus,fcev
road,passenger,bus,g
road,passenger,bus,lpg
road,passenger,lt,bev
road,passenger,lt,cng
road,passenger,lt,d
road,passenger,lt,fcev
road,passenger,lt,g
road,passenger,lt,lpg
road,passenger,lt,phevg
road,passenger,lv,bev
road,passenger,lv,cng
road,passenger,lv,d
road,passenger,lv,fcev
road,passenger,lv,g
road,passenger,lv,lpg
road,passenger,lv,phevg
road,freight,ht,phevd
road,passenger,bus,phevd
air,freight,all,all
air,passenger,all,all
rail,freight,all,all
rail,passenger,all,all
ship,freight,all,all
ship,passenger,all,all
