Medium,Transport Type,Vehicle Type,Drive
air,freight,all,all
air,passenger,all,all
rail,freight,all,all
rail,passenger,all,all
road,freight,ht,bev
road,freight,ht,fcev
road,freight,ht,ice
road,passenger,2w,bev
road,passenger,2w,ice
road,passenger,bus,bev
road,passenger,bus,ice
road,passenger,bus,fcev
road,passenger,ldv,bev
road,passenger,ldv,ice
road,passenger,ldv,fcev
road,passenger,ldv,phev
ship,freight,all,all
ship,passenger,all,all
road,freight,ht,phev
road,passenger,bus,phev
road,freight,lcv,bev
road,freight,lcv,fcev
road,freight,lcv,ice
