,Scenario,Transport Type,Date,Activity
0,Reference,freight,2020,89.19752174249389
1,Reference,freight,2021,3419.7574996657277
2,Reference,freight,2022,3796.385680279417
3,Reference,freight,2023,3890.2518857341756
4,Reference,freight,2024,3987.8231381233277
5,Reference,freight,2025,4087.93593075874
6,Reference,freight,2026,4188.876199641816
7,Reference,freight,2027,4291.3404564346865
8,Reference,freight,2028,4374.2408380738825
9,Reference,freight,2029,4457.782881794312
10,Reference,freight,2030,4542.455203358935
11,Reference,freight,2031,4628.87587941999
12,Reference,freight,2032,4709.828487610331
13,Reference,freight,2033,4789.675203170996
14,Reference,freight,2034,4867.458326882324
15,Reference,freight,2035,4942.86595391849
16,Reference,freight,2036,5015.544456217285
17,Reference,freight,2037,5085.311970089894
18,Reference,freight,2038,5151.929718706397
19,Reference,freight,2039,5216.864205719745
20,Reference,freight,2040,5279.613507504831
21,Reference,freight,2041,5338.84463874258
22,Reference,freight,2042,5394.128144287352
23,Reference,freight,2043,5445.74552884284
24,Reference,freight,2044,5493.363425973003
25,Reference,freight,2045,5536.9114511940825
26,Reference,freight,2046,5576.162650824349
27,Reference,freight,2047,5611.113514020598
28,Reference,freight,2048,5641.728723791624
29,Reference,freight,2049,5668.033704539651
30,Reference,freight,2050,5689.941474323202
31,Reference,freight,2051,5708.198910942694
32,Reference,freight,2052,5722.69512662132
33,Reference,freight,2053,5733.621445189995
34,Reference,freight,2054,5740.975105155813
35,Reference,freight,2055,5744.974816356614
36,Reference,freight,2056,5745.714455505554
37,Reference,freight,2057,5743.489804524832
38,Reference,freight,2058,5738.6705189439335
39,Reference,freight,2059,5731.370713355076
40,Reference,freight,2060,5721.856045850185
41,Reference,freight,2061,5710.452446750661
42,Reference,freight,2062,5697.358480764525
43,Reference,freight,2063,5691.9599816333
44,Reference,freight,2064,5683.653080747373
45,Reference,freight,2065,5672.689933698042
46,Reference,freight,2066,5659.182414365398
47,Reference,freight,2067,5643.27472682911
48,Reference,freight,2068,5625.193231787238
49,Reference,freight,2069,5605.017343156273
50,Reference,freight,2070,5582.999293809442
51,Reference,freight,2071,5609.668854294098
52,Reference,freight,2072,5633.837199239142
53,Reference,freight,2073,5657.359534521802
54,Reference,freight,2074,5680.7363877576045
55,Reference,freight,2075,5704.22175921589
56,Reference,freight,2076,5727.703030548315
57,Reference,freight,2077,5751.210218281838
58,Reference,freight,2078,5774.551489897574
59,Reference,freight,2079,5797.210349924448
60,Reference,freight,2080,5819.53426455491
61,Reference,freight,2081,5841.404633748005
62,Reference,freight,2082,5862.598633294479
63,Reference,freight,2083,5883.341470770396
64,Reference,freight,2084,5903.208760786527
65,Reference,freight,2085,5922.040080157143
66,Reference,freight,2086,5939.867002000551
67,Reference,freight,2087,5956.484381375755
68,Reference,freight,2088,5971.9277373305285
69,Reference,freight,2089,5987.096503900355
70,Reference,freight,2090,6001.801899443963
71,Reference,freight,2091,6015.933527670899
72,Reference,freight,2092,6029.271655741588
73,Reference,freight,2093,6041.7619768644845
74,Reference,freight,2094,6052.99287969285
75,Reference,freight,2095,6062.849313640351
76,Reference,freight,2096,6071.149843666984
77,Reference,freight,2097,6077.675024295514
78,Reference,freight,2098,6082.08424786846
79,Reference,freight,2099,6084.061645044945
80,Reference,freight,2100,6083.776455307872
81,Reference,passenger,2020,207.8283053775061
82,Reference,passenger,2021,1729.4785338529553
83,Reference,passenger,2022,1783.0433175864785
84,Reference,passenger,2023,1926.0740757668716
85,Reference,passenger,2024,2056.277718771396
86,Reference,passenger,2025,2104.0375239504906
87,Reference,passenger,2026,2152.7287819585854
88,Reference,passenger,2027,2202.154085395373
89,Reference,passenger,2028,2252.216121326417
90,Reference,passenger,2029,2302.6821713273043
91,Reference,passenger,2030,2353.370597528053
92,Reference,passenger,2031,2404.1067207816923
93,Reference,passenger,2032,2454.693959861286
94,Reference,passenger,2033,2504.9748851528866
95,Reference,passenger,2034,2554.7055885270397
96,Reference,passenger,2035,2603.680034978912
97,Reference,passenger,2036,2651.688887382592
98,Reference,passenger,2037,2698.524471917304
99,Reference,passenger,2038,2743.9801705730124
100,Reference,passenger,2039,2787.8444218496174
101,Reference,passenger,2040,2829.9168478611195
102,Reference,passenger,2041,2869.95996525639
103,Reference,passenger,2042,2907.777563653771
104,Reference,passenger,2043,2943.190763300753
105,Reference,passenger,2044,2976.024785239862
106,Reference,passenger,2045,3006.1638604189034
107,Reference,passenger,2046,3033.4567729049727
108,Reference,passenger,2047,3057.8710579461517
109,Reference,passenger,2048,3079.252452000318
110,Reference,passenger,2049,3097.7952672136357
111,Reference,passenger,2050,3113.505725539014
112,Reference,passenger,2051,3126.111481976239
113,Reference,passenger,2052,3137.2715482326107
114,Reference,passenger,2053,3146.894113580474
115,Reference,passenger,2054,3155.2874866243096
116,Reference,passenger,2055,3162.248735346933
117,Reference,passenger,2056,3167.7595428446834
118,Reference,passenger,2057,3171.8696281624034
119,Reference,passenger,2058,3174.731505039127
120,Reference,passenger,2059,3176.2368562902393
121,Reference,passenger,2060,3176.4034349365716
122,Reference,passenger,2061,3175.446123430921
123,Reference,passenger,2062,3173.369074805677
124,Reference,passenger,2063,3170.3535586440307
125,Reference,passenger,2064,3166.1116292864913
126,Reference,passenger,2065,3161.0561129359367
127,Reference,passenger,2066,3154.9674843836483
128,Reference,passenger,2067,3147.9637843643104
129,Reference,passenger,2068,3140.1526549924006
130,Reference,passenger,2069,3131.442686365557
131,Reference,passenger,2070,3122.032660110602
132,Reference,passenger,2071,3110.6132446210377
133,Reference,passenger,2072,3098.1207180694364
134,Reference,passenger,2073,3085.3045157078936
135,Reference,passenger,2074,3072.5253477865963
136,Reference,passenger,2075,3060.4603370132286
137,Reference,passenger,2076,3048.3026452359295
138,Reference,passenger,2077,3036.3504776500126
139,Reference,passenger,2078,3024.481019743342
140,Reference,passenger,2079,3012.726611612008
141,Reference,passenger,2080,3000.7177619440495
142,Reference,passenger,2081,2988.8485130429644
143,Reference,passenger,2082,2976.8280442325645
144,Reference,passenger,2083,2964.7504581921007
145,Reference,passenger,2084,2952.5640078389556
146,Reference,passenger,2085,2940.6709792303627
147,Reference,passenger,2086,2929.301700183362
148,Reference,passenger,2087,2917.9158723700734
149,Reference,passenger,2088,2906.867985700821
150,Reference,passenger,2089,2896.238876800274
151,Reference,passenger,2090,2885.6149193212127
152,Reference,passenger,2091,2875.283866282564
153,Reference,passenger,2092,2865.01326455671
154,Reference,passenger,2093,2854.9176807335016
155,Reference,passenger,2094,2844.6739875953303
156,Reference,passenger,2095,2834.3951163089164
157,Reference,passenger,2096,2824.159597184682
158,Reference,passenger,2097,2813.5774284055838
159,Reference,passenger,2098,2802.859514993811
160,Reference,passenger,2099,2791.6290319022582
161,Reference,passenger,2100,2779.908551077158
162,Target,freight,2020,89.19752174249389
163,Target,freight,2021,3428.5222592300242
164,Target,freight,2022,3806.068473494438
165,Target,freight,2023,3899.8479395626846
166,Target,freight,2024,3997.1923664175615
167,Target,freight,2025,4096.923141051535
168,Target,freight,2026,4197.337998955067
169,Target,freight,2027,4299.14477352702
170,Target,freight,2028,4381.223803000134
171,Target,freight,2029,4463.818244597876
172,Target,freight,2030,4547.419922891836
173,Target,freight,2031,4632.515631144815
174,Target,freight,2032,4711.871824915963
175,Target,freight,2033,4789.875507295229
176,Target,freight,2034,4865.563582637801
177,Target,freight,2035,4938.63024323482
178,Target,freight,2036,5008.729035460583
179,Target,freight,2037,5075.68271231739
180,Target,freight,2038,5139.258854490937
181,Target,freight,2039,5200.936020529907
182,Target,freight,2040,5260.2156461047825
183,Target,freight,2041,5315.893328692603
184,Target,freight,2042,5367.559482161252
185,Target,freight,2043,5415.506014100976
186,Target,freight,2044,5459.414322590043
187,Target,freight,2045,5499.235980556386
188,Target,freight,2046,5534.757472653275
189,Target,freight,2047,5566.102827860437
190,Target,freight,2048,5593.138999293481
191,Target,freight,2049,5615.912713752793
192,Target,freight,2050,5634.355412966445
193,Target,freight,2051,5647.328213459464
194,Target,freight,2052,5654.745821618793
195,Target,freight,2053,5656.827188560859
196,Target,freight,2054,5653.594942085926
197,Target,freight,2055,5645.27958233421
198,Target,freight,2056,5632.048493297747
199,Target,freight,2057,5614.25008820164
200,Target,freight,2058,5592.272174853797
201,Target,freight,2059,5566.287301106556
202,Target,freight,2060,5536.652509767789
203,Target,freight,2061,5503.760086962385
204,Target,freight,2062,5467.847842373929
205,Target,freight,2063,5439.765520868319
206,Target,freight,2064,5407.620847770705
207,Target,freight,2065,5371.475414064684
208,Target,freight,2066,5331.471346685045
209,Target,freight,2067,5287.792425643454
210,Target,freight,2068,5240.700026773454
211,Target,freight,2069,5190.339460172088
212,Target,freight,2070,5136.994411997914
213,Target,freight,2071,5169.7606702923395
214,Target,freight,2072,5202.622981543699
215,Target,freight,2073,5236.785354368395
216,Target,freight,2074,5272.288622347928
217,Target,freight,2075,5309.045527731903
218,Target,freight,2076,5346.656380951649
219,Target,freight,2077,5384.968794176892
220,Target,freight,2078,5423.603115673067
221,Target,freight,2079,5462.395767544735
222,Target,freight,2080,5500.51954191395
223,Target,freight,2081,5538.389861068992
224,Target,freight,2082,5575.725185836087
225,Target,freight,2083,5612.655117409328
226,Target,freight,2084,5648.734710557004
227,Target,freight,2085,5683.771931235487
228,Target,freight,2086,5717.767849423359
229,Target,freight,2087,5750.4795935610455
230,Target,freight,2088,5781.881518576149
231,Target,freight,2089,5812.8195676151045
232,Target,freight,2090,5843.165205470292
233,Target,freight,2091,5872.764167356906
234,Target,freight,2092,5901.356969506272
235,Target,freight,2093,5928.85546900825
236,Target,freight,2094,5954.816536579326
237,Target,freight,2095,5979.033166591258
238,Target,freight,2096,6001.303670554607
239,Target,freight,2097,6021.140579768233
240,Target,freight,2098,6037.9822471803245
241,Target,freight,2099,6051.664139914609
242,Target,freight,2100,6062.478544620654
243,Target,passenger,2020,207.8283053775061
244,Target,passenger,2021,1731.7098049971999
245,Target,passenger,2022,1775.3100800285451
246,Target,passenger,2023,1906.1601567301975
247,Target,passenger,2024,2022.7471376959295
248,Target,passenger,2025,2055.5596664188342
249,Target,passenger,2026,2088.052034463704
250,Target,passenger,2027,2120.0837209019733
251,Target,passenger,2028,2151.6257960070643
252,Target,passenger,2029,2182.52716857183
253,Target,passenger,2030,2212.6936293817657
254,Target,passenger,2031,2241.9147207173055
255,Target,passenger,2032,2270.098312465983
256,Target,passenger,2033,2297.197318837548
257,Target,passenger,2034,2323.088636949331
258,Target,passenger,2035,2347.691591286421
259,Target,passenger,2036,2370.927298216698
260,Target,passenger,2037,2392.7217398703683
261,Target,passenger,2038,2413.005787628985
262,Target,passenger,2039,2431.7060181967067
263,Target,passenger,2040,2448.76002276192
264,Target,passenger,2041,2464.1149419695594
265,Target,passenger,2042,2477.704236664264
266,Target,passenger,2043,2489.476431041683
267,Target,passenger,2044,2499.3767759994644
268,Target,passenger,2045,2507.3983838010267
269,Target,passenger,2046,2513.505048320062
270,Target,passenger,2047,2517.7355151136226
271,Target,passenger,2048,2520.0390877759046
272,Target,passenger,2049,2520.6639098504943
273,Target,passenger,2050,2519.6152388088417
274,Target,passenger,2051,2516.541117432259
275,Target,passenger,2052,2511.8145436397185
276,Target,passenger,2053,2505.3524029132027
277,Target,passenger,2054,2497.4498787990588
278,Target,passenger,2055,2487.9604487721404
279,Target,passenger,2056,2476.904560203981
280,Target,passenger,2057,2464.341908258703
281,Target,passenger,2058,2450.3990833951043
282,Target,passenger,2059,2435.231670942316
283,Target,passenger,2060,2418.6190824054015
284,Target,passenger,2061,2400.7787402043987
285,Target,passenger,2062,2381.6869484289214
286,Target,passenger,2063,2361.53987123528
287,Target,passenger,2064,2340.121749962713
288,Target,passenger,2065,2317.752709292817
289,Target,passenger,2066,2294.402264751551
290,Target,passenger,2067,2270.0581839119272
291,Target,passenger,2068,2244.8216431997325
292,Target,passenger,2069,2218.684245163668
293,Target,passenger,2070,2191.794497800767
294,Target,passenger,2071,2204.267848893041
295,Target,passenger,2072,2214.225504051561
296,Target,passenger,2073,2222.373144744149
297,Target,passenger,2074,2229.2391658106694
298,Target,passenger,2075,2235.419679724534
299,Target,passenger,2076,2240.341655979956
300,Target,passenger,2077,2244.4056790642167
301,Target,passenger,2078,2247.6886245029295
302,Target,passenger,2079,2250.1731074737368
303,Target,passenger,2080,2251.625591451884
304,Target,passenger,2081,2252.6414049671725
305,Target,passenger,2082,2252.90325936123
306,Target,passenger,2083,2252.5325475200752
307,Target,passenger,2084,2251.543957545156
308,Target,passenger,2085,2250.5409843122893
309,Target,passenger,2086,2249.856820462088
310,Target,passenger,2087,2248.7742326441944
311,Target,passenger,2088,2247.6799519928154
312,Target,passenger,2089,2246.9482344486446
313,Target,passenger,2090,2245.9611501588015
314,Target,passenger,2091,2245.180577246248
315,Target,passenger,2092,2244.1938873533577
316,Target,passenger,2093,2243.1831411491808
317,Target,passenger,2094,2241.819442940491
318,Target,passenger,2095,2240.2785227202617
319,Target,passenger,2096,2238.643791475389
320,Target,passenger,2097,2236.384120559045
321,Target,passenger,2098,2234.07559652038
322,Target,passenger,2099,2231.0877742854686
323,Target,passenger,2100,2227.3443926252407
